"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Corio","Participation rate (%)",86.9,80.6,80.2,82.3,82,83.4,85.9,87,88.2,90,91.7,90.1,89,85.5,78.6,85.5,83.6
"Deakin","Total participants",1151,3075,2899,3308,3581,3854,4149,3694,3525,3272,3251,3077,2339,1786,1903,44864,84713
"Deakin","Eligible participants",1325,3665,3513,3998,4287,4547,4794,4195,3988,3635,3580,3372,2574,2024,2383,51880,100102
"Deakin","Participation rate (%)",86.9,83.9,82.5,82.7,83.5,84.8,86.5,88.1,88.4,90,90.8,91.3,90.9,88.2,79.9,86.5,84.6
"Dunkley","Total participants",1104,3300,3161,3371,3349,3667,4037,3850,4058,3794,3881,3418,2414,1733,1620,46757,87596
"Dunkley","Eligible participants",1335,4169,3994,4222,4149,4461,4905,4503,4689,4310,4293,3796,2734,1989,2097,55646,106918
"Dunkley","Participation rate (%)",82.7,79.2,79.1,79.8,80.7,82.2,82.3,85.5,86.5,88,90.4,90,88.3,87.1,77.3,84,81.9
"Flinders","Total participants",1138,2961,3048,3123,3212,3607,4350,4201,4756,4907,5023,4509,3011,1901,1918,51665,97902
"Flinders","Eligible participants",1347,3757,3888,3991,4004,4464,5249,4961,5466,5555,5597,5018,3382,2201,2481,61361,119309
"Flinders","Participation rate (%)",84.5,78.8,78.4,78.3,80.2,80.8,82.9,84.7,87,88.3,89.7,89.9,89,86.4,77.3,84.2,82.1
"Gellibrand","Total participants",995,3246,4061,4615,4760,4534,4462,3958,3759,3186,2740,2285,1831,1386,1476,47294,91388
"Gellibrand","Eligible participants",1130,3940,4911,5548,5633,5423,5289,4667,4358,3678,3159,2592,2153,1716,1974,56171,111159
"Gellibrand","Participation rate (%)",88.1,82.4,82.7,83.2,84.5,83.6,84.4,84.8,86.3,86.6,86.7,88.2,85,80.8,74.8,84.2,82.2
"Gippsland","Total participants",919,2585,2697,2811,2651,2903,3377,3757,4481,4651,4418,3623,2504,1600,1547,44524,85444
"Gippsland","Eligible participants",1180,3610,3734,3724,3507,3652,4210,4486,5175,5230,4828,3983,2783,1850,1936,53888,105814
"Gippsland","Participation rate (%)",77.9,71.6,72.2,75.5,75.6,79.5,80.2,83.7,86.6,88.9,91.5,91,90,86.5,79.9,82.6,80.7
"Goldstein","Total participants",1369,3459,2793,2781,3160,4192,5078,4730,4478,3926,3662,3015,2080,1566,2441,48730,91627
"Goldstein","Eligible participants",1493,3892,3246,3349,3790,4898,5872,5290,4995,4320,4038,3343,2335,1814,3057,55732,106484
"Goldstein","Participation rate (%)",91.7,88.9,86,83,83.4,85.6,86.5,89.4,89.6,90.9,90.7,90.2,89.1,86.3,79.8,87.4,86
"Gorton","Total participants",1421,3990,4151,4941,5220,5194,4920,4013,3869,3646,3068,1982,1067,660,534,48676,93768
